internal_company_id,internal_company_name,internal_domain,internal_country,external_provider,external_provider_commit,external_ats_family,external_company_name,external_slug,external_url,match_class,match_basis,confidence_reason,verified,verified_at,jrc_support,source_multiplicity
EMP-00020,HSBC Bank Australia,hsbc.com,Australia,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,eightfold,HSBC,hsbc,https://hsbc.eightfold.ai/careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,DECLARATIVE_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-00026,PayPal Australia,paypal.com,Australia,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,eightfold,PayPal,paypal,https://paypal.eightfold.ai/careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,DECLARATIVE_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-00026,PayPal Australia,paypal.com,Australia,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,PayPal,paypal/jobs,https://paypal.wd1.myworkdayjobs.com/jobs,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-00027,Rabobank Australia,rabobank.com.au,Australia,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Rabobank,rabobank/jobs,https://rabobank.wd3.myworkdayjobs.com/jobs,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-00029,Suncorp Bank,suncorpbank.com.au,Australia,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,successfactors,ANZ Banking Careers,anzbanking,https://careers.anz.com,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-00030,Wise Australia,wise.com,Australia,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,smartrecruiters,Wise,Wise,https://careers.smartrecruiters.com/Wise,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-00105,Shell Energy Australia,shell.com,Australia,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Work at Shell,shell/shellcareers,https://shell.wd3.myworkdayjobs.com/shellcareers,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-00119,Avant Insurance,avant.org.au,Australia,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Avant,avant/external_careers,https://avant.wd503.myworkdayjobs.com/external_careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-00120,Chubb Insurance Australia,chubb.com,Australia,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,hrmos,Chubb損害保険株式会社,chubb,https://hrmos.co/pages/chubb/jobs,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-00137,Swiss Re Australia,swissre.com,Australia,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,successfactors,Swiss Re,careers,https://careers.swissre.com,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-00143,Alcoa Australia,alcoa.com,Australia,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Alcoa,alcoa/careers,https://alcoa.wd5.myworkdayjobs.com/careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-00154,Newmont Australia,newmont.com,Australia,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,successfactors,Newmont,newmont,https://newmont.jobs2web.com,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-00159,South32,south32.net,Australia,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,successfactors,South32 Group Operations Pty Ltd,careers,https://careers.south32.net,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
