Record ID,Employer,Canonical Employer,Parent Group,Corporate Cluster ID,Canonical Name Occurrences,Duplicate Review Flag,Entity Class,Career Scan Eligible,Sector,Discovery Geography,Org Type,Corporate Website,Website Status,Careers URL,Career Scan Status,Discovery Source,Source URL,Notes,Freeze Version,Freeze Status,Resolved Corporate Website,Resolved Careers Landing URL,Resolved Jobs Search URL,Portal Scope,ATS Family,ATS Confidence,Portal Resolution Status,Portal Verification URL,Portal Verified Date,Resolution Parent Override,Resolution Wave
EMP-00001,Alex Bank,Alex Bank,,CG-1D7D047995,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.alex.bank,https://www.alex.bank/about-alex/,https://www.alex.bank/about-alex/,Australia banking portal,Custom / backend unverified,High,VERIFIED_WAVE_5,https://www.alex.bank/about-alex/,2026-08-30,,W5
EMP-00002,AMP Bank,AMP Bank,,CG-B399562214,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions | Australian Banking Association current members 2026,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions | https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.amp.com.au,https://www.amp.com.au/about-amp/careers,https://www.amp.com.au/about-amp/careers,Australia banking portal,Custom / backend unverified,High,VERIFIED_WAVE_5,https://www.amp.com.au/about-amp/careers,2026-08-30,,W5
EMP-00003,Arab Bank Australia,Arab Bank Australia,,CG-FB3D0C9886,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,Australian Banking Association current members 2026,https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.arabbank.com.au,https://www.arabbank.com.au/about/careers,https://www.arabbank.com.au/about/careers,Australia banking portal,Custom / backend unverified,High,VERIFIED_WAVE_5,https://www.arabbank.com.au/about/careers,2026-08-30,,W5
EMP-00004,Australian Military Bank,Australian Military Bank,,CG-A44B4DF2FE,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.australianmilitarybank.com.au,https://www.australianmilitarybank.com.au/careers,https://www.australianmilitarybank.com.au/careers,Australia banking portal,Custom / backend unverified,High,VERIFIED_WAVE_5,https://www.australianmilitarybank.com.au/careers,2026-08-30,,W5
EMP-00005,Australian Settlements Limited,Australian Settlements,,CG-4068512BEC,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00006,Auswide Bank,Auswide Bank,,CG-B26EF79449,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.auswidebank.com.au,https://www.auswidebank.com.au/about/careers/,https://www.auswidebank.com.au/about/careers/,Shared MyState group banking portal,Custom / backend unverified,High,VERIFIED_WAVE_5,https://www.auswidebank.com.au/about/careers/,2026-08-30,MyState Limited,W5
EMP-00007,Avenue Bank,Avenue Bank,,CG-A64077BA01,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions,,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.avenuebank.com.au,https://www.avenuebank.com.au/careers/,https://www.avenuebank.com.au/careers/,Australia banking portal,Custom / backend unverified,High,VERIFIED_WAVE_5,https://www.avenuebank.com.au/careers/,2026-08-30,,W5
EMP-00008,Bank Australia,Bank Australia,,CG-582842766E,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions | Australian Banking Association current members 2026,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions | https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.bankaust.com.au,https://www.bankaust.com.au/careers,https://www.bankaust.com.au/careers,Australia banking portal,Custom / backend unverified,High,VERIFIED_WAVE_5,https://www.bankaust.com.au/careers,2026-08-30,,W5
EMP-00009,Bank of China Australia,Bank of China Australia,,CG-2B92D5FF28,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,Australian Banking Association current members 2026,https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,,,,,,,NOT_STARTED,,,,
EMP-00010,Bank of Queensland,Bank of Queensland,,CG-B0CBC65756,1,,Employer Candidate,Yes,Banking / financial services / payments,Australia,Company,,Pending resolution,,Not started,APRA authorised deposit-taking institutions | Australian Banking Association current members 2026,https://www.apra.gov.au/registers/list-registered-authorised-deposit-taking-institutions | https://www.ausbanking.org.au/about-us/aba-members/,Current official ABA member roster.,v1.0,FROZEN_WITH_KNOWN_RESIDUALS,https://www.boq.com.au,https://www.boq.com.au/about-us/careers/,https://www.boq.com.au/about-us/careers/,Australia banking portal,Custom / backend unverified,High,VERIFIED_WAVE_5,https://www.boq.com.au/about-us/careers/,2026-08-30,,W5
