Corporate Cluster ID,Resolved Group,Representative Employer,Legal/Discovery Records Covered,Corporate Website,Careers Landing URL,Jobs Search URL,Portal Scope,ATS Family,ATS Confidence,Resolution Status,Verification Evidence URL,Verified Date,Parent Override,Shared Portal Group,Notes
CG-40931FE064,Aembit,Aembit,1,https://aembit.io,https://aembit.io/careers/,https://aembit.io/careers/,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://aembit.io/careers/,2026-08-30,,Aembit,
CG-0D1DFC37E3,Aikido Security,Aikido Security,1,https://www.aikido.dev,https://www.aikido.dev/company/careers,https://aikidosecurity.recruitee.com/,Global cyber vendor portal,Recruitee,Verified,VERIFIED,https://aikidosecurity.recruitee.com/,2026-08-30,,Aikido Security,
CG-B18A35036C,Apiiro,Apiiro,1,https://apiiro.com,https://apiiro.com/careers/,https://job-boards.greenhouse.io/apiiro,Global cyber vendor portal,Greenhouse,Verified,VERIFIED,https://job-boards.greenhouse.io/apiiro,2026-08-30,,Apiiro,
CG-E27B77DBB8,AppOmni,AppOmni,1,https://appomni.com,https://appomni.com/careers/,https://job-boards.greenhouse.io/appomni,Global cyber vendor portal,Greenhouse,Verified,VERIFIED,https://job-boards.greenhouse.io/appomni,2026-08-30,,AppOmni,
CG-94D6BD7E03,Aqua Security,Aqua Security,1,https://www.aquasec.com,https://www.aquasec.com/careers/,https://www.aquasec.com/careers/,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://www.aquasec.com/careers/,2026-08-30,,Aqua Security,
CG-8A94C8F543,Astrix Security,Astrix Security,1,https://astrix.security,https://astrix.security/,https://jobs.cisco.com/,Parent-consolidated global cyber roles,Cisco Careers,Verified,VERIFIED,https://jobs.cisco.com/,2026-08-30,Cisco,Cisco,Astrix is part of Cisco; standalone hiring is consolidated to Cisco careers.
CG-6B3EEA6312,Axonius,Axonius,1,https://www.axonius.com,https://www.axonius.com/company/careers/open-jobs,https://www.axonius.com/company/careers/open-jobs,Global cyber vendor portal,Greenhouse embedded,Verified,VERIFIED,https://www.axonius.com/company/careers/open-jobs,2026-08-30,,Axonius,
CG-03664C4E9F,BigID,BigID,1,https://bigid.com,https://bigid.com/company/careers/,https://bigid.com/company/careers/,Global cyber vendor portal,Greenhouse embedded,Verified,VERIFIED,https://bigid.com/company/careers/,2026-08-30,,BigID,
CG-5B1812F90E,Black Duck,Black Duck,1,https://www.blackduck.com,https://www.blackduck.com/company/careers.html,https://job-boards.greenhouse.io/blackduck,Global cyber vendor portal,Greenhouse,Verified,VERIFIED,https://job-boards.greenhouse.io/blackduck,2026-08-30,,Black Duck,
CG-C30185F883,Blackpoint Cyber,Blackpoint Cyber,1,https://blackpointcyber.com,https://blackpointcyber.com/company/careers/,https://blackpointcyber.com/company/careers/,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://blackpointcyber.com/company/careers/,2026-08-30,,Blackpoint Cyber,
CG-92D1045ABF,Blumira,Blumira,1,https://www.blumira.com,https://www.blumira.com/company/careers/,https://job-boards.greenhouse.io/blumira,Global cyber vendor portal,Greenhouse,Verified,VERIFIED,https://job-boards.greenhouse.io/blumira,2026-08-30,,Blumira,
CG-FF6D4D4199,Censys,Censys,1,https://censys.com,https://censys.com/careers/,https://job-boards.greenhouse.io/censys,Global cyber vendor portal,Greenhouse,Verified,VERIFIED,https://job-boards.greenhouse.io/censys,2026-08-30,,Censys,
CG-014D76F14F,Cequence Security,Cequence Security,1,https://www.cequence.ai,https://www.cequence.ai/careers/,https://www.cequence.ai/careers/,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://www.cequence.ai/careers/,2026-08-30,,Cequence Security,Official careers page currently reports no open positions.
CG-DC9621C1A5,Chainguard,Chainguard,1,https://www.chainguard.dev,https://www.chainguard.dev/careers,https://job-boards.greenhouse.io/chainguard,Global cyber vendor portal,Greenhouse,Verified,VERIFIED,https://job-boards.greenhouse.io/chainguard,2026-08-30,,Chainguard,
CG-720A9C0557,Coro,Coro,1,https://www.coro.net,https://www.coro.net/careers,https://www.coro.net/careers,Global cyber vendor portal,Custom first-party job board,Verified,VERIFIED,https://www.coro.net/careers,2026-08-30,,Coro,
CG-EA62AD10EF,Cycode,Cycode,1,https://cycode.com,https://cycode.com/careers/position/,https://cycode.com/careers/position/,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://cycode.com/careers/position/,2026-08-30,,Cycode,
CG-B8FFB95ABC,Cyera,Cyera,1,https://www.cyera.com,https://www.cyera.com/careers,https://www.cyera.com/careers,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://www.cyera.com/careers,2026-08-30,,Cyera,
CG-5F6965CC17,DataDome,DataDome,1,https://datadome.co,https://careers.datadome.co/,https://job-boards.greenhouse.io/ddome,Global cyber vendor portal,Greenhouse,Verified,VERIFIED,https://job-boards.greenhouse.io/ddome,2026-08-30,,DataDome,
CG-7149CF9F83,Deep Instinct,Deep Instinct,1,https://www.deepinstinct.com,https://www.deepinstinct.com/careers,https://www.deepinstinct.com/careers,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://www.deepinstinct.com/careers,2026-08-30,,Deep Instinct,
CG-2F2CA1DCF2,Detectify,Detectify,1,https://detectify.com,https://careers.detectify.com/,https://careers.detectify.com/,Global cyber vendor portal,Custom / branded careers portal,High,VERIFIED,https://careers.detectify.com/,2026-08-30,,Detectify,
CG-31BAE2D672,DigiCert,DigiCert,1,https://www.digicert.com,https://www.digicert.com/careers,https://www.digicert.com/careers,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://www.digicert.com/careers,2026-08-30,,DigiCert,
CG-5D79B39C66,Druva,Druva,1,https://www.druva.com,https://www.druva.com/why-druva/explore/careers,https://www.druva.com/why-druva/explore/careers,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://www.druva.com/why-druva/explore/careers,2026-08-30,,Druva,
CG-27490BD899,Flashpoint,Flashpoint,1,https://flashpoint.io,https://flashpoint.io/about-us/careers/,https://flashpoint.io/about-us/careers/,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://flashpoint.io/about-us/careers/,2026-08-30,,Flashpoint,
CG-F06B98EE99,Forcepoint,Forcepoint,1,https://www.forcepoint.com,https://www.forcepoint.com/company/work-with-us,https://www.forcepoint.com/company/work-with-us,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://www.forcepoint.com/company/work-with-us,2026-08-30,,Forcepoint,
CG-A58366664C,Fortra,Fortra,1,https://www.fortra.com,https://www.fortra.com/about,https://www.fortra.com/about,Global cyber vendor portal,Custom / backend unverified,High,VERIFIED,https://www.fortra.com/about,2026-08-30,,Fortra,Official About page exposes Career Opportunities and Work With Us links.
CG-2291D4BF53,GitGuardian,GitGuardian,1,https://www.gitguardian.com,https://www.gitguardian.com/careers,https://www.gitguardian.com/job-openings,Global cyber vendor portal,Custom / branded careers portal,High,VERIFIED,https://www.gitguardian.com/job-openings,2026-08-30,,GitGuardian,
CG-BFBF6C2C67,Grip Security,Grip Security,1,https://www.grip.security,https://www.grip.security/saas-security-about-us,https://www.comeet.com/jobs/grip/A8.001,Global cyber vendor portal,Comeet,Verified,VERIFIED,https://www.comeet.com/jobs/grip/A8.001,2026-08-30,,Grip Security,
CG-0331353FDC,Halcyon,Halcyon,1,https://www.halcyon.ai,https://www.halcyon.ai/company,https://job-boards.greenhouse.io/halcyon,Global cyber vendor portal,Greenhouse,Verified,VERIFIED,https://job-boards.greenhouse.io/halcyon,2026-08-30,,Halcyon,
