Canonical Employer,Corporate Website,Careers Landing URL,Jobs Search URL,Portal Scope,ATS Family,ATS Confidence,Notes
Aembit,https://aembit.io,https://aembit.io/careers/,https://aembit.io/careers/,Global cyber vendor portal,Custom / backend unverified,High,
Aikido Security,https://www.aikido.dev,https://www.aikido.dev/company/careers,https://aikidosecurity.recruitee.com/,Global cyber vendor portal,Recruitee,Verified,
Apiiro,https://apiiro.com,https://apiiro.com/careers/,https://job-boards.greenhouse.io/apiiro,Global cyber vendor portal,Greenhouse,Verified,
AppOmni,https://appomni.com,https://appomni.com/careers/,https://job-boards.greenhouse.io/appomni,Global cyber vendor portal,Greenhouse,Verified,
Aqua Security,https://www.aquasec.com,https://www.aquasec.com/careers/,https://www.aquasec.com/careers/,Global cyber vendor portal,Custom / backend unverified,High,
Astrix Security,https://astrix.security,https://astrix.security/,https://jobs.cisco.com/,Parent-consolidated global cyber roles,Cisco Careers,Verified,Astrix is part of Cisco; standalone hiring is consolidated to Cisco careers.
Axonius,https://www.axonius.com,https://www.axonius.com/company/careers/open-jobs,https://www.axonius.com/company/careers/open-jobs,Global cyber vendor portal,Greenhouse embedded,Verified,
BigID,https://bigid.com,https://bigid.com/company/careers/,https://bigid.com/company/careers/,Global cyber vendor portal,Greenhouse embedded,Verified,
Black Duck,https://www.blackduck.com,https://www.blackduck.com/company/careers.html,https://job-boards.greenhouse.io/blackduck,Global cyber vendor portal,Greenhouse,Verified,
Blackpoint Cyber,https://blackpointcyber.com,https://blackpointcyber.com/company/careers/,https://blackpointcyber.com/company/careers/,Global cyber vendor portal,Custom / backend unverified,High,
Blumira,https://www.blumira.com,https://www.blumira.com/company/careers/,https://job-boards.greenhouse.io/blumira,Global cyber vendor portal,Greenhouse,Verified,
Censys,https://censys.com,https://censys.com/careers/,https://job-boards.greenhouse.io/censys,Global cyber vendor portal,Greenhouse,Verified,
Cequence Security,https://www.cequence.ai,https://www.cequence.ai/careers/,https://www.cequence.ai/careers/,Global cyber vendor portal,Custom / backend unverified,High,Official careers page currently reports no open positions.
Chainguard,https://www.chainguard.dev,https://www.chainguard.dev/careers,https://job-boards.greenhouse.io/chainguard,Global cyber vendor portal,Greenhouse,Verified,
Coro,https://www.coro.net,https://www.coro.net/careers,https://www.coro.net/careers,Global cyber vendor portal,Custom first-party job board,Verified,
Cycode,https://cycode.com,https://cycode.com/careers/position/,https://cycode.com/careers/position/,Global cyber vendor portal,Custom / backend unverified,High,
Cyera,https://www.cyera.com,https://www.cyera.com/careers,https://www.cyera.com/careers,Global cyber vendor portal,Custom / backend unverified,High,
DataDome,https://datadome.co,https://careers.datadome.co/,https://job-boards.greenhouse.io/ddome,Global cyber vendor portal,Greenhouse,Verified,
Deep Instinct,https://www.deepinstinct.com,https://www.deepinstinct.com/careers,https://www.deepinstinct.com/careers,Global cyber vendor portal,Custom / backend unverified,High,
Detectify,https://detectify.com,https://careers.detectify.com/,https://careers.detectify.com/,Global cyber vendor portal,Custom / branded careers portal,High,
DigiCert,https://www.digicert.com,https://www.digicert.com/careers,https://www.digicert.com/careers,Global cyber vendor portal,Custom / backend unverified,High,
Druva,https://www.druva.com,https://www.druva.com/why-druva/explore/careers,https://www.druva.com/why-druva/explore/careers,Global cyber vendor portal,Custom / backend unverified,High,
Flashpoint,https://flashpoint.io,https://flashpoint.io/about-us/careers/,https://flashpoint.io/about-us/careers/,Global cyber vendor portal,Custom / backend unverified,High,
Forcepoint,https://www.forcepoint.com,https://www.forcepoint.com/company/work-with-us,https://www.forcepoint.com/company/work-with-us,Global cyber vendor portal,Custom / backend unverified,High,
Fortra,https://www.fortra.com,https://www.fortra.com/about,https://www.fortra.com/about,Global cyber vendor portal,Custom / backend unverified,High,Official About page exposes Career Opportunities and Work With Us links.
GitGuardian,https://www.gitguardian.com,https://www.gitguardian.com/careers,https://www.gitguardian.com/job-openings,Global cyber vendor portal,Custom / branded careers portal,High,
Grip Security,https://www.grip.security,https://www.grip.security/saas-security-about-us,https://www.comeet.com/jobs/grip/A8.001,Global cyber vendor portal,Comeet,Verified,
Halcyon,https://www.halcyon.ai,https://www.halcyon.ai/company,https://job-boards.greenhouse.io/halcyon,Global cyber vendor portal,Greenhouse,Verified,
Horizon3.ai,https://horizon3.ai,https://horizon3.ai/join-our-team/,https://jobs.ashbyhq.com/horizon3ai,Global cyber vendor portal,Ashby,Verified,
Huntress,https://www.huntress.com,https://www.huntress.com/company/careers,https://job-boards.greenhouse.io/huntress,Global cyber vendor portal,Greenhouse,Verified,
Island,https://www.island.io,https://www.island.io/careers,https://www.island.io/careers,Global cyber vendor portal,Custom first-party job board,High,
Jamf,https://www.jamf.com,https://www.jamf.com/about/careers/,https://www.jamf.com/about/careers/jobs/,Global cyber vendor portal,Custom first-party job board,High,
JupiterOne,https://www.jupiterone.com,https://www.jupiterone.com/careers,https://www.jupiterone.com/careers,Global cyber vendor portal,Custom / backend unverified,High,
Lacework,https://www.lacework.com,https://www.fortinet.com/corporate/careers,https://www.fortinet.com/corporate/careers,Parent-consolidated global cyber roles,Fortinet Careers,Verified,Lacework was acquired by Fortinet; hiring is consolidated to the parent careers portal.
Legit Security,https://www.legitsecurity.com,https://www.legitsecurity.com/careers,https://www.legitsecurity.com/careers,Global cyber vendor portal,Custom first-party job board,High,
Material Security,https://material.security,https://material.security/careers,https://material.security/careers,Global cyber vendor portal,Custom / backend unverified,High,
