rank,corporate_cluster_id,representative_employer,priority_score,employer_scale_score,cybersecurity_relevance_score,target_geography_score,early_career_probability_score,cluster_record_score,likely_ats_quality_score,legal_discovery_records,primary_scan_eligible,sectors,discovery_geographies,organization_types,score_rationale
1,CG-2C8F607B00,Charter Communications,88,20,20,15,15,5,13,1,True,Cybersecurity vendors / technology | Cross-sector large-cap employer baseline,USA,Company,"large-cap source stratum; cybersecurity-vendor sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, large-cap maturity proxy, non-numeric identity"
2,CG-EECDDD10D7,Intel,85,20,20,12,15,5,13,1,True,Cybersecurity vendors / technology | Digital / technology / cross-sector | Semiconductors / electronics / hardware | Cross-sector large-cap employer baseline,USA | EU / Europe,Company,"large-cap source stratum; cybersecurity-vendor sector; included European region; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, large-cap maturity proxy, non-numeric identity"
3,CG-B7F4192DF6,Cummins,83,20,15,15,15,5,13,1,True,Cross-sector large-cap employer baseline | Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"large-cap source stratum; cyber-adjacent sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, large-cap maturity proxy, non-numeric identity"
4,CG-5FEE3E2296,Huntington Ingalls Industries,83,20,15,15,15,5,13,1,True,Cross-sector large-cap employer baseline | Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"large-cap source stratum; cyber-adjacent sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, large-cap maturity proxy, non-numeric identity"
5,CG-6ED5E17232,Nucor,83,20,15,15,15,5,13,1,True,Cross-sector large-cap employer baseline | Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"large-cap source stratum; cyber-adjacent sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, large-cap maturity proxy, non-numeric identity"
6,CG-845D62A600,Textron,83,20,15,15,15,5,13,1,True,Aerospace / defence / space | Cross-sector large-cap employer baseline | Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"large-cap source stratum; cyber-adjacent sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, large-cap maturity proxy, non-numeric identity"
7,CG-B9F43C30F5,Truist Financial,83,20,15,15,15,5,13,1,True,Cross-sector large-cap employer baseline | Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"large-cap source stratum; cyber-adjacent sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, large-cap maturity proxy, non-numeric identity"
8,CG-D1D9B9355F,AIR,81,12,18,15,15,10,11,2,True,Defence / national security / cyber / aerospace / dual-use / services | ICT / software / cybersecurity / digital services,Italy | USA,Company,"regulated or mature-employer sector; explicit cybersecurity sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 2 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
9,CG-B3DEB52441,EID,81,12,18,15,15,10,11,2,True,Aerospace / space / defence / cyber / advanced manufacturing | ICT / software / cybersecurity / digital services,Italy | Portugal,Company,"regulated or mature-employer sector; explicit cybersecurity sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 2 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
10,CG-623D9F9489,Bavak Security Group,80,12,20,15,15,5,13,1,True,Defence / security / cyber / aerospace / naval / dual-use,Netherlands,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
11,CG-45F451786C,Cyber Defense Technologies,80,12,20,15,15,5,13,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
12,CG-22FC6FCBDD,Cybernet Systems,80,12,20,15,15,5,13,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
