name,tier,primary_category,dataset_canonical_employer,corporate_cluster_id,portal_status,portal_id,jobs_url,scan_enabled,portal_health,last_successful_scan_at,covered_brands,monitoring_scope
Google,S,global_tech_cloud_ai,Google,CG-C65DC3B9A9,resolved_scannable,384,https://www.google.com/about/careers/applications/jobs/results,True,UNKNOWN,,Wiz; Mandiant; Google Cloud Security,core
Microsoft,S,global_tech_cloud_ai,Microsoft,CG-64814A3B7F,resolved_scannable,187,https://jobs.careers.microsoft.com/global/en/search,True,HEALTHY,2026-08-31 15:02:08.218774,GitHub,core
Amazon,S,global_tech_cloud_ai,Amazon,CG-1E17FD881E,resolved_scannable,291,https://www.amazon.jobs/en/search,True,UNKNOWN,,AWS,core
Apple,S,global_tech_cloud_ai,Apple,CG-D0BE2DC421,resolved_scannable,175,https://jobs.apple.com/en-us/search,True,HEALTHY,2026-08-31 15:02:05.349583,,core
Meta,S,global_tech_cloud_ai,Meta,CG-CB03049115,resolved_scannable,424,https://www.metacareers.com/jobs/,True,UNKNOWN,,,core
NVIDIA,S,global_tech_cloud_ai,NVIDIA,CG-05F5439F98,resolved_scannable,443,https://www.nvidia.com/en-us/about-nvidia/careers/,True,UNKNOWN,,,core
OpenAI,S,global_tech_cloud_ai,OpenAI,CG-7D3BBB5CBB,present_unresolved,,,False,,,,core
Anthropic,S,global_tech_cloud_ai,,,missing_to_resolve,,,False,,,,core
Cloudflare,S,global_tech_cloud_ai,Cloudflare,CG-F036F57906,resolved_scannable,341,https://www.cloudflare.com/careers/jobs/,True,UNKNOWN,,,core
Cisco,S,global_tech_cloud_ai,Cisco,CG-7AF78C911D,resolved_scannable,189,https://jobs.cisco.com/jobs/SearchJobs/,True,UNKNOWN,,Splunk,core
IBM,S,global_tech_cloud_ai,IBM,CG-D3AC7A4EF1,resolved_scannable,395,https://www.ibm.com/careers/search,True,UNKNOWN,,Red Hat,core
Oracle,S,global_tech_cloud_ai,Oracle,CG-431364B645,resolved_scannable,447,https://www.oracle.com/careers/,True,UNKNOWN,,,core
Palantir Technologies,S,global_tech_cloud_ai,Palantir Technologies,CG-1F09F61ED6,resolved_scannable,448,https://www.palantir.com/careers/,True,UNKNOWN,,,core
Broadcom,S,global_tech_cloud_ai,Broadcom,CG-6081F87907,resolved_scannable,327,https://www.broadcom.com/company/careers,True,UNKNOWN,,,core
Palo Alto Networks,S,cybersecurity_vendor,Palo Alto Networks,CG-710F91B65A,resolved_scannable,223,https://jobs.paloaltonetworks.com/en/search_jobs,True,HEALTHY,2026-08-31 19:52:51.893575,CyberArk,core
CrowdStrike,S,cybersecurity_vendor,CrowdStrike,CG-CEC06F879A,resolved_scannable,138,https://crowdstrike.wd5.myworkdayjobs.com/crowdstrikecareers,True,UNKNOWN,,,core
Fortinet,S,cybersecurity_vendor,Fortinet,CG-D73D4A8B6A,resolved_scannable,375,https://www.fortinet.com/corporate/careers,True,UNKNOWN,,,core
Zscaler,S,cybersecurity_vendor,Zscaler,CG-62C559B42E,resolved_scannable,509,https://www.zscaler.com/careers/search,True,UNKNOWN,,,core
Okta,S,cybersecurity_vendor,Okta,CG-0004CE55D3,resolved_scannable,446,https://www.okta.com/company/careers/job-listing/,True,UNKNOWN,,,core
Check Point Software,S,cybersecurity_vendor,Check Point Software,CG-5C528EBC85,resolved_not_scannable,43,https://careers.checkpoint.com/,False,DEGRADED,,,core
SentinelOne,S,cybersecurity_vendor,SentinelOne,CG-56303A94B3,resolved_scannable,473,https://www.sentinelone.com/jobs/,True,UNKNOWN,,,core
