rank,portal_id,company,jobs_url,host,ats_family,total_score,employer_value_score,likely_yield_score,shared_contract_score,observed_contract_score,cluster_records,observed_jobs,active_review_jobs,same_family_fallbacks,health_state,contract_evidence
1,66,ING,https://careers.ing.com/search-jobs,careers.ing.com,Custom / branded portal,72,33,3,20,16,14,15,0,76,HEALTHY,successful public response observed
2,471,Banco Santander,https://www.santander.com/en/careers,www.santander.com,Custom / branded portal,65,45,0,20,0,20,0,0,76,UNKNOWN,public contract not yet observed
3,179,AXA,https://jobs.axa.com/careers-home/,jobs.axa.com,Branded portal; backend vendor unverified,63,45,0,2,16,27,1,0,2,HEALTHY,successful public response observed
4,271,Barclays Bank | Barclays Bank Ireland | Barclays Bank Ireland France | Barclays Corporate | Barclays Investment Bank | Barclays Merchant Services | Barclays Private Bank | Barclays Trade and Working Capital UK & Ireland | Barclays Wealth and Investment Management,https://search.jobs.barclays/,search.jobs.barclays,Custom / branded portal,61,23,2,20,16,9,10,0,76,HEALTHY,successful public response observed
5,102,BRD Groupe Société Générale,https://careers.societegenerale.com/en/search,careers.societegenerale.com,Custom / branded portal,58,21,1,20,16,8,9,0,76,HEALTHY,successful public response observed
6,22,Allianz,https://careers.allianz.com/global/en/search-results,careers.allianz.com,Branded portal; backend vendor unverified,58,45,0,2,11,26,0,0,2,HEALTHY,successful public response observed
7,45,Deutsche Bank,https://careers.db.com/professionals/search-roles/,careers.db.com,Custom / branded portal,56,25,0,20,11,10,0,0,76,HEALTHY,successful public response observed
8,68,J.P. Morgan Australia and New Zealand,https://careers.jpmorgan.com/,careers.jpmorgan.com,Custom / branded portal,54,23,0,20,11,9,0,0,76,HEALTHY,successful public response observed
9,280,Wazuh,https://wazuh.com/careers/,wazuh.com,Custom / backend unverified,52,7,9,20,16,1,28,1,148,HEALTHY,successful public response observed
10,103,Sopra Steria,https://careers.soprasteria.com/jobs,careers.soprasteria.com,Custom / branded portal,52,15,1,20,16,5,6,0,76,HEALTHY,successful public response observed
11,107,Banque Stellantis France,https://careers.stellantis.com/,careers.stellantis.com,Custom / branded portal,52,21,0,20,11,8,0,0,76,HEALTHY,successful public response observed
12,282,Banca Widiba - Wise Dialog Bank,https://wise.jobs/jobs,wise.jobs,Custom / branded portal,51,13,2,20,16,4,12,0,76,HEALTHY,successful public response observed
13,118,Vattenfall,https://careers.vattenfall.com/jobs,careers.vattenfall.com,Custom / branded portal,51,13,2,20,16,4,12,0,76,HEALTHY,successful public response observed
14,513,Equinix,https://careers.equinix.com/jobs/search,careers.equinix.com,Custom / branded portal,50,7,7,20,16,1,39,0,76,HEALTHY,successful public response observed
