employer,reason,possible_candidates,manual_review_required
Anthropic,no deterministic match: not a representative / canonical / parent / VERIFIED alias,,Y
Discord,no deterministic match: not a representative / canonical / parent / VERIFIED alias,,Y
Databricks,no deterministic match: not a representative / canonical / parent / VERIFIED alias,,Y
GuidePoint Security,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master); ECU (CG-67F5A8C93A, master); ECU (CG-67F5A8C93A, master); CU (CG-93C30B1A3B, master)",Y
Glean,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master)",Y
Anyscale,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master); SCA (CG-F68B241445, master); SCA (CG-F68B241445, master)",Y
Pure Storage / Everpure,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master)",Y
Forter,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"FO (CG-19082866D4, master); FO (CG-19082866D4, master); Fort (CG-2787A85EB2, master); Fort (CG-2787A85EB2, master); E (CG-58E6B3A414, master)",Y
Rolls-Royce,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master)",Y
OneTrust,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master)",Y
Lambda,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"MBDA (CG-CA2ED86266, master); MBDA (CG-CA2ED86266, master); MBDA (CG-CA2ED86266, parent_group)",Y
Cerebras Systems,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master)",Y
Together AI,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master)",Y
Crusoe,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master)",Y
Procore,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master)",Y
Cribl,no deterministic match: not a representative / canonical / parent / VERIFIED alias,,Y
Splunk,no deterministic match: not a representative / canonical / parent / VERIFIED alias,,Y
Bloomberg,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master)",Y
ENISA,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master); Eni (CG-ED078A55E3, master); Eni (CG-ED078A55E3, master); Eni (CG-ED078A55E3, parent_group)",Y
NATO,no deterministic match: not a representative / canonical / parent / VERIFIED alias,,Y
European Space Agency,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master)",Y
European Central Bank,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master)",Y
Arm,no deterministic match: not a representative / canonical / parent / VERIFIED alias,,Y
Dassault Aviation,no deterministic match: not a representative / canonical / parent / VERIFIED alias,,Y
Parsons,no deterministic match: not a representative / canonical / parent / VERIFIED alias,,Y
Vodafone,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"FO (CG-19082866D4, master); FO (CG-19082866D4, master); E (CG-58E6B3A414, master); E (CG-58E6B3A414, master)",Y
BT Group,no deterministic match: not a representative / canonical / parent / VERIFIED alias,,Y
Europol,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master)",Y
European Commission,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master); SSI (CG-9C7550CC41, master); SSI (CG-9C7550CC41, master); MM (CG-B8D09B4D85, master)",Y
CERN,no deterministic match: not a representative / canonical / parent / VERIFIED alias,"E (CG-58E6B3A414, master); E (CG-58E6B3A414, master)",Y
